artist_name,cluster_id,cluster_representative
Jack White,0,The Beatles
Small Faces,0,The Beatles
Tony Sheridan,0,The Beatles
Wings,0,The Beatles
Creedence Clearwater Revival,0,The Beatles
Brian Hyland,0,The Beatles
DJ Dance Lockarm,0,The Beatles
Cross Section,0,The Beatles
DJ Jimi Needles,0,The Beatles
The Ronettes,0,The Beatles
Nogabe Randriaharimalala,0,The Beatles
N8E,0,The Beatles
Volcano!,0,The Beatles
Goldfrapp,0,The Beatles
Tony Joe White,0,The Beatles
Juicy Cuts,0,The Beatles
Devin Davis,0,The Beatles
Sol Uprising,0,The Beatles
Miguel Ettema,0,The Beatles
Sleaford Mods,0,The Beatles
amiina,0,The Beatles
The Music,0,The Beatles
The Specials,0,The Beatles
Los Autómatas Inteligentes,0,The Beatles
Les Ogres de Barback,0,The Beatles
Davey Graham,0,The Beatles
J. Boogie's Dubtronic Science,0,The Beatles
MashmyAs$,0,The Beatles
Gelbart,0,The Beatles
Glen Campbell,0,The Beatles
Jive Bunny and the Mastermixers,0,The Beatles
Monica Queen,0,The Beatles
Les Rita Mitsouko,0,The Beatles
Daniela Rathana,0,The Beatles
RUMBLERAGGA,0,The Beatles
James Kochalka Superstar,0,The Beatles
Le Bal Brotto Lopez,0,The Beatles
John Anderson Big Band,0,The Beatles
Montell Fish,0,The Beatles
Timo Maas,0,The Beatles
Kiki Dee,0,The Beatles
"Jimmy ""Orion"" Ellis",0,The Beatles
You+Me,0,The Beatles
Ray C Mashups,0,The Beatles
MotorMouthMusic,0,The Beatles
百石元,0,The Beatles
Take That,0,The Beatles
Ben Kweller,0,The Beatles
Sir Simon,0,The Beatles
Jean de Sainte-Colombe,0,The Beatles
702,0,The Beatles
The Viola Crayola,0,The Beatles
Phil Harris,0,The Beatles
Gloria Ann Taylor,0,The Beatles
Michael Tavera,0,The Beatles
Punky Brewskies,0,The Beatles
Country Joe McDonald,0,The Beatles
The Stone Roses,0,The Beatles
Suprême NTM,0,The Beatles
Wah!,0,The Beatles
The New Power Generation,0,The Beatles
Knoc-Turn'Al,0,The Beatles
Jesus Loves You,0,The Beatles
hunz,0,The Beatles
Chubby Checker,0,The Beatles
Mashed and Confused,0,The Beatles
The Bad Plus,0,The Beatles
Ren,0,The Beatles
The Communards,0,The Beatles
The Archies,0,The Beatles
The Common People,0,The Beatles
The Yardbirds,0,The Beatles
Mansun,0,The Beatles
Vinnie Maniscalco,0,The Beatles
Ruff Muff,0,The Beatles
Gene Page,0,The Beatles
Naam Brigade,0,The Beatles
Roxanne Shanté,0,The Beatles
Joe O'Donnell,0,The Beatles
The Tuss,0,The Beatles
Paper Diamond,0,The Beatles
Rune Lindbæk,0,The Beatles
Libythth,0,The Beatles
Mel Smith,0,The Beatles
William S. Burroughs,0,The Beatles
Stormzy,0,The Beatles
Duo Kie,0,The Beatles
Flëur,0,The Beatles
Song of Zarathustra,0,The Beatles
Leggo,0,The Beatles
Grace Jones,0,The Beatles
Talib Kweli,0,The Beatles
Acker Bilk,0,The Beatles
Jackie Wilson,0,The Beatles
Mud,0,The Beatles
Lal Waterson,0,The Beatles
Dickie Jones,0,The Beatles
TedEdFred,0,The Beatles
Echo and the Bunnymen,0,The Beatles
The Fall,0,The Beatles
Badly Drawn Boy,0,The Beatles
Little Richard,0,The Beatles
Jazzy,0,The Beatles
The Golden Pony,0,The Beatles
Palass,0,The Beatles
Go Home Productions,0,The Beatles
Carter the Unstoppable Sex Machine,0,The Beatles
Gary Glitter,0,The Beatles
The Jon Spencer Blues Explosion,0,The Beatles
Nachoman,0,The Beatles
Ulrich Schnauss,0,The Beatles
sleeper.spaceborn,0,The Beatles
Top Jimmy Page,0,The Beatles
KOE,0,The Beatles
Mark Pritchard,0,The Beatles
Richard M. Sherman,0,The Beatles
The 4-Skins,0,The Beatles
Milanese,0,The Beatles
Joanna Newsom,0,The Beatles
Sting,0,The Beatles
Brainstorm,0,The Beatles
Tati Quebra Barraco,0,The Beatles
Chris Montez,0,The Beatles
CHOPS,0,The Beatles
Colatron,0,The Beatles
Bernard Herrmann,0,The Beatles
Body Count,0,The Beatles
Deux Process,0,The Beatles
The Troggs,0,The Beatles
Terry Reid,0,The Beatles
Sadam Ant,0,The Beatles
Peyote Cody,0,The Beatles
The Jelly Bean Bandits,0,The Beatles
Колибри,0,The Beatles
The Mouseketeers,0,The Beatles
Thes One,0,The Beatles
"Antonio ""Drunk Beetle"" Edison",0,The Beatles
Celebrity Murder Party,0,The Beatles
The Beach Boys,0,The Beatles
P.O.S,0,The Beatles
Sammy Fain,0,The Beatles
Jeff Beck,0,The Beatles
Don McLean,0,The Beatles
Dion,0,The Beatles
Magic Sam Blues Band,0,The Beatles
Think,0,The Beatles
Joe Anderson,0,The Beatles
Dela,0,The Beatles
The Rolling Stones,0,The Beatles
Luther 'Georgia Boy' Johnson,0,The Beatles
Danger Mouse,0,The Beatles
Cab Calloway and His Orchestra,0,The Beatles
The Joneses,0,The Beatles
Rudi Zygadlo,0,The Beatles
Civil Twilight,0,The Beatles
Joe Walsh,0,The Beatles
Sandrose,0,The Beatles
Samson and Delilah,0,The Beatles
Téléphone,0,The Beatles
Nick Cave and the Bad Seeds,0,The Beatles
Sonny Fodera,0,The Beatles
Norman Greenbaum,0,The Beatles
Billy Ze Kick et les Gamins en Folie,0,The Beatles
Jan Garbarek,0,The Beatles
Rustie,0,The Beatles
The Film,0,The Beatles
MHz,0,The Beatles
Different Gear,0,The Beatles
Death in Vegas,0,The Beatles
Beatmaster,0,The Beatles
Ride,0,The Beatles
Pixies,0,The Beatles
The Blue Jays,0,The Beatles
Corcovado Frequency,0,The Beatles
Clubspeakers,0,The Beatles
ScHoolboy Q,0,The Beatles
Federal Duck,0,The Beatles
Jet,0,The Beatles
Mano Negra,0,The Beatles
Adolf Stern,0,The Beatles
Rhythm Scholar,0,The Beatles
Irving Berlin,0,The Beatles
Wire,0,The Beatles
Dean Gray,0,The Beatles
Coast to Coast,0,The Beatles
Chrome Hoof,0,The Beatles
Sweet Tee,0,The Beatles
The Times,0,The Beatles
The Earl,0,The Beatles
Scooter Pietsch,0,The Beatles
Jean-Michel Jarre,0,The Beatles
Tindersticks,0,The Beatles
Timmy Thomas,0,The Beatles
The Vaselines,0,The Beatles
Cliff Bennett and the Rebel Rousers,0,The Beatles
Sybil,0,The Beatles
Eero Johannes,0,The Beatles
Jimmy Ruffin,0,The Beatles
Kalifa,0,The Beatles
Yoko Ono,0,The Beatles
Innerpartysystem,0,The Beatles
Os Mutantes,0,The Beatles
Chewy Puma,0,The Beatles
Kelly Osbourne,0,The Beatles
Ethel Merman,0,The Beatles
D-Funk,0,The Beatles
XTC,0,The Beatles
Darts,0,The Beatles
Herve Pagez,0,The Beatles
Get Well Soon,0,The Beatles
The Cult,0,The Beatles
Harold Arlen,0,The Beatles
Sampha,0,The Beatles
Sam Dees,0,The Beatles
Alabina,0,The Beatles
Koko Taylor,0,The Beatles
George Bruns,0,The Beatles
Leigh Harline,0,The Beatles
DJ Daigo,0,The Beatles
Raz Ohara and The Odd Orchestra,0,The Beatles
Medicine,0,The Beatles
The House of Love,0,The Beatles
808 State,0,The Beatles
DJ UMB,0,The Beatles
Soundhog,0,The Beatles
Jamalski,0,The Beatles
Player,0,The Beatles
Bettye Crutcher,0,The Beatles
The Polyphonic Spree,0,The Beatles
Netsky,0,The Beatles
▲NDRΛS,0,The Beatles
Anita Lane,0,The Beatles
Gayngs,0,The Beatles
DJ P,0,The Beatles
Flunk,0,The Beatles
Loo and Placido,0,The Beatles
Joseph Shirley,0,The Beatles
Rayvon,0,The Beatles
Cybotron,0,The Beatles
The Excels,0,The Beatles
Kasabian,0,The Beatles
Unique,0,The Beatles
Funkstörung,0,The Beatles
isky,0,The Beatles
The Verve,0,The Beatles
Peggy Lee,0,The Beatles
فريد الأطرش,0,The Beatles
Rachid Taha,0,The Beatles
Sincerely Antique,0,The Beatles
Fred Williams and The Jewels Band,0,The Beatles
Wizzard,0,The Beatles
Nebula II,0,The Beatles
Ash,0,The Beatles
JoBoxers,0,The Beatles
Annie Lennox,0,The Beatles
Cole Medina,0,The Beatles
deVilhoOD,0,The Beatles
The Who,0,The Beatles
Bliss,0,The Beatles
The Who Boys,0,The Beatles
▲NGST,0,The Beatles
ANOHNI and the Johnsons,0,The Beatles
BTK,0,The Beatles
Skids,0,The Beatles
Spice Girls,0,The Beatles
William Fitzsimmons,0,The Beatles
Kenny Jaymes,0,The Beatles
Jungle,0,The Beatles
The Rebel,0,The Beatles
DJ Matt Hite,0,The Beatles
Julie Andrews,0,The Beatles
Bassnectar,0,The Beatles
Sex Pistols,0,The Beatles
Ian Wilkie,0,The Beatles
The Manhattan Transfer,0,The Beatles
Manfred Hübler,0,The Beatles
Paul J. Smith,0,The Beatles
Slade,0,The Beatles
Jason Load,0,The Beatles
All Angels,0,The Beatles
Ohmega Watts,0,The Beatles
The Beatles,0,The Beatles
Zebra,0,The Beatles
The Icypoles,0,The Beatles
12 Rounds,0,The Beatles
Samuel E. Wright,0,The Beatles
Ali Farka Touré,0,The Beatles
Sweet Exorcist,0,The Beatles
MC5,0,The Beatles
Romanowski,0,The Beatles
Jerome Moross,0,The Beatles
Powell,0,The Beatles
4 Zone,0,The Beatles
Topol,0,The Beatles
Doves,0,The Beatles
Scott Matthew,0,The Beatles
The Mash,0,The Beatles
Tina Malia,0,The Beatles
MIDI Lidi,0,The Beatles
The Farm,0,The Beatles
Blonde Redhead,0,The Beatles
The Police,0,The Beatles
Kaiser Chiefs,0,The Beatles
Diamond Messages,0,The Beatles
Pwin ▲▲ Teaks,0,The Beatles
Kill Paris,0,The Beatles
Belcea Quartet,0,The Beatles
자우림,0,The Beatles
Primal Scream,0,The Beatles
The Velvet Underground,0,The Beatles
ZILLA,0,The Beatles
Radio 4,0,The Beatles
Julian Cope,0,The Beatles
Anenon,0,The Beatles
DJ Fox,0,The Beatles
DJ Scissorkicks,0,The Beatles
Abigail Brady,0,The Beatles
Cai Farrington,0,The Beatles
Mimi and Richard Fariña,0,The Beatles
Ron Grainer,0,The Beatles
Aphelion Barz,0,The Beatles
Curt Cress,0,The Beatles
Harry Cox,0,The Beatles
Rob Tex,0,The Beatles
Mira Calix,0,The Beatles
Jamie Principle,0,The Beatles
The Monkees,0,The Beatles
Russell Howard,0,The Beatles
Culture Cruncher,0,The Beatles
Television,0,The Beatles
People's Choice,0,The Beatles
Black Riot,0,The Beatles
John McWhorter,0,The Beatles
Depone,0,The Beatles
The Last Town Chorus,0,The Beatles
Alban Berg Quartett,0,The Beatles
CALL911,0,The Beatles
Jerry Fish and The Mudbug Club,0,The Beatles
World Famous Audio Hacker,0,The Beatles
Falsalarma,0,The Beatles
Charlie Rich,0,The Beatles
Santos Party House,0,The Beatles
Alarm Will Sound,0,The Beatles
Van McCoy,0,The Beatles
Little Lion Sound,0,The Beatles
KNEECAP,0,The Beatles
Manfred Mann,0,The Beatles
Patti Smith,0,The Beatles
"A Homeboy, A Hippie and A Funki Dredd",0,The Beatles
Uffie,0,The Beatles
Philwit and Pegasus,0,The Beatles
Shakin' Stevens,0,The Beatles
Christian Löffler,0,The Beatles
Little Eva,0,The Beatles
Joy Division,0,The Beatles
Mr. Meeble,0,The Beatles
LFO,0,The Beatles
Neiltomo,0,The Beatles
Zook,0,The Beatles
Jason Downs,0,The Beatles
She!K,0,The Beatles
Don Amott K of C,0,The Beatles
The Psychedelic Furs,0,The Beatles
Lexicon,0,The Beatles
Frankie Bones,0,The Beatles
Wendell Austin,0,The Beatles
Paper Route,0,The Beatles
Alan Menken,0,The Beatles
F.R. David,0,The Beatles
Flavor Flav,0,The Beatles
Valerie Davis,0,The Beatles
Phil Thornton,0,The Beatles
Five or Six,0,The Beatles
Robert H. P. White,0,The Beatles
Noisettes,0,The Beatles
The Champs,0,The Beatles
Agalloch,0,The Beatles
Apostles,0,The Beatles
The Mooney Suzuki,0,The Beatles
Mastodon,0,The Beatles
Keith Jarrett,0,The Beatles
Camille,0,The Beatles
Agent Graves,0,The Beatles
Maxence Cyrin,0,The Beatles
Device,0,The Beatles
Common Sense,0,The Beatles
The Crystals,0,The Beatles
Nautic,0,The Beatles
イマクニ?,0,The Beatles
The Undertones,0,The Beatles
DJ Koyote,0,The Beatles
The Big Bopper,0,The Beatles
Trust,0,The Beatles
The Procussions,0,The Beatles
Red Snapper,0,The Beatles
Beatallica,0,The Beatles
Jimmie Dodd,0,The Beatles
Loops Haunt,0,The Beatles
Tortoise,0,The Beatles
Necros,0,The Beatles
mindvacy,0,The Beatles
Jerry Lee Lewis,0,The Beatles
Tom Showtime,0,The Beatles
ASHWAN,0,The Beatles
Jodi Benson,0,The Beatles
Rick and Morty,0,The Beatles
Doris and Kelley,0,The Beatles
The Reborn Identity,0,The Beatles
2 Skinnee J's,0,The Beatles
M and G,0,The Beatles
ccc,0,The Beatles
Pere Ubu,0,The Beatles
Gilla,0,The Beatles
Aimee Mann,0,The Beatles
Cookie Monster,0,The Beatles
Baxter,0,The Beatles
Platon Andritsakis,0,The Beatles
DJ Zeph,0,The Beatles
Meatball,0,The Beatles
Kill Sadie,0,The Beatles
Tashaki Miyaki,0,The Beatles
Phil RetroSpector,0,The Beatles
The Andrew Oldham Orchestra,0,The Beatles
Titus Andronicus,0,The Beatles
The KLF,0,The Beatles
Joe Raposo,0,The Beatles
Chosen Few,0,The Beatles
Simon Park Orchestra,0,The Beatles
Simon and Garfunkel,0,The Beatles
DEEN,0,The Beatles
Soulwax,0,The Beatles
Summer Walker,0,The Beatles
Oliver Wallace,0,The Beatles
Eddie Cochran,0,The Beatles
Olivia Newton-John,0,The Beatles
Funkdoobiest,0,The Beatles
1086 Productions,0,The Beatles
David Essex,0,The Beatles
Playing for Change,0,The Beatles
Robert Glasper,0,The Beatles
Spartan Lover,0,The Beatles
Trumpet Thing,0,The Beatles
TwoThirds,0,The Beatles
Derek Drymon,0,The Beatles
Sniper,0,The Beatles
Roy Wood,0,The Beatles
Mono,0,The Beatles
The Jam,0,The Beatles
Q-Dee,0,The Beatles
Pat Carroll,0,The Beatles
Andrei Tudor,0,The Beatles
Carlos Serrano,0,The Beatles
Electric Light Orchestra,0,The Beatles
Chumbawamba,0,The Beatles
Cliff Edwards,0,The Beatles
Another,0,The Beatles
The Residents,0,The Beatles
Prom Queen,0,The Beatles
4hero,0,The Beatles
Frank Churchill,0,The Beatles
Copycat,0,The Beatles
Panic Girl,0,The Beatles
John Lennon,0,The Beatles
Surfer Blood,0,The Beatles
Chromatics,0,The Beatles
KC Flightt,0,The Beatles
OAKK,0,The Beatles
Strangeloop,0,The Beatles
Negativland,0,The Beatles
Thin Lizzy,0,The Beatles
Kaleidoscope,1,Beyoncé
The Count Basie Orchestra,1,Beyoncé
Intruder,1,Beyoncé
Bombers,1,Beyoncé
Barbara Mason,1,Beyoncé
Rare Pleasure,1,Beyoncé
Mr. Lee,1,Beyoncé
Yazoo,1,Beyoncé
Shuggie Otis,1,Beyoncé
Sean Brosnan,1,Beyoncé
Mafia Kiss,1,Beyoncé
Ts Madison,1,Beyoncé
Phantogram,1,Beyoncé
Charles Bukowski,1,Beyoncé
The Feels,1,Beyoncé
Rhythim Is Rhythim,1,Beyoncé
MACE,1,Beyoncé
Niniola,1,Beyoncé
Greymatter,1,Beyoncé
Sister Rosetta Tharpe,1,Beyoncé
Ink Project,1,Beyoncé
The Black on White Affair,1,Beyoncé
Francesca Lombardo,1,Beyoncé
Georgio,1,Beyoncé
Family Tree,1,Beyoncé
Paperclip People,1,Beyoncé
So Schway,1,Beyoncé
Tommy Dorsey,1,Beyoncé
a/jus/ted,1,Beyoncé
Moi Renee,1,Beyoncé
Terence Trent D'Arby,1,Beyoncé
Danube Dance,1,Beyoncé
Risse,1,Beyoncé
Elvis Depressedly,1,Beyoncé
Agitation Free,1,Beyoncé
Don Ray,1,Beyoncé
Arash,1,Beyoncé
Kool Savas,1,Beyoncé
Aquarius,1,Beyoncé
ideaot,1,Beyoncé
Blumentopf,1,Beyoncé
Tommy Wright III,1,Beyoncé
Aloka,1,Beyoncé
De Nada,1,Beyoncé
Rikin8r,1,Beyoncé
Miguel Campbell,1,Beyoncé
Chris Barber,1,Beyoncé
Leda Stray,1,Beyoncé
Des'ree,1,Beyoncé
Hithouse,1,Beyoncé
Bobby Thurston,1,Beyoncé
Sly One,1,Beyoncé
Paradox,1,Beyoncé
Nia Peeples,1,Beyoncé
The Clark Sisters,1,Beyoncé
Radio Slave,1,Beyoncé
The Chi-Lites,1,Beyoncé
Obscene Frequenzy,1,Beyoncé
Gabe,1,Beyoncé
Vinylgroover,1,Beyoncé
Jazmine Sullivan,1,Beyoncé
MikeQ,1,Beyoncé
Bytesize,1,Beyoncé
Vernon Burch,1,Beyoncé
Charles Anderson,1,Beyoncé
Four Tet,1,Beyoncé
Michael Nyman,1,Beyoncé
Monte,1,Beyoncé
Acid Mothers Temple and The Melting Paraiso U.F.O.,1,Beyoncé
Womba,1,Beyoncé
Bombo Rosa,1,Beyoncé
Ace Hood,1,Beyoncé
Nitty,1,Beyoncé
After 7,1,Beyoncé
Stanton Warriors,1,Beyoncé
Kelly Charles,1,Beyoncé
