artist,authority_score
Daniel Ingram,59.3798611779111
James Brown,45.43545838428819
2Pac,44.812766886075124
電音部,38.52366068553597
外神田文芸高校,33.7654913182841
[unknown],32.134929647637776
Daft Punk,27.155934104005993
Lyn Collins,27.06120028594773
開発室Pixel,26.053088683967445
Kraftwerk,25.898278591228348
John Lennon,25.2695118982466
Toby Fox,23.5974794350707
Michael Jackson,22.97313227565014
GIRakaCHEEZER,22.943672091290853
Yoko Ono,22.493733123963153
The Honey Drippers,21.148883429993326
Britney Spears,20.168609693435755
ASAGEN,19.712288758288217
C418,19.283556000348245
Porter Robinson,18.705281268005756
Isaac Hayes,18.65725892977021
近藤浩治,18.635759425767915
Nine Inch Nails,18.5423602541539
Eminem,18.441300270855198
Incredible Bongo Band,18.22583374915281
Barry Manilow,18.133708848138667
The Winstons,17.603796901889016
Kool,17.21983465165456
PSY,17.040938779842534
Mel Tormé,16.074304499767443
折戸伸治,16.06477671393735
戸越まごめ,15.883683639383754
Ye,15.643925619103982
Run‐D.M.C.,15.375712966103352
IOSYS,15.292399298769562
JAY‐Z,15.000758233649005
The Prodigy,14.70838560083417
DJ TECHNORCH,14.223887660545008
椎名もた,14.005704048763086
The Jacksons,13.581266782933858
Beastie Boys,13.3518412840761
Jim Jones,13.281627397347338
Aphex Twin,13.181854718870564
The Sugarhill Gang,13.088405491699948
Justice,13.005374113018796
Queen,12.77480138809289
Prince,12.770621392207818
Fatboy Slim,12.665694475539748
The Beatles,12.471630785324033
Katy Perry,12.42629240081603
Eric B.,12.378318347640182
The Notorious B.I.G.,12.223701214251852
Beside,11.859056109308934
Madonna,11.827668022848362
Chic,11.724743871788196
Public Enemy,11.62331819397528
Mariah Carey,11.619996526679829
SHIKI,11.596549007497755
supercell,11.587515938480168
Drake,11.56464860664237
Depeche Mode,11.397961835367374
Loleatta Holloway,11.371361868483168
Pink Floyd,11.264708259999667
Friendship,11.220423798399977
宇多田ヒカル,11.182991560679588
Curtis Mayfield,10.9799373910889
Dr. Dre,10.964478651928504
Linkin Park,10.932062328200846
anubasu-anubasu,10.763662317940701
Lady Gaga,10.73246406164831
"Earth, Wind",10.693820693468398
Honey Cone,10.577510964348571
Nina Simone,10.508464446442769
Charli xcx,10.477466347750266
Metallica,10.468601827137476
KISS,10.42735662351432
Marvin Gaye,10.328374813614786
wotaku,10.250261894019857
Funkadelic,10.210879719409789
50 Cent,10.198599724931015
George Buzinkai,10.191585047587193
Parliament,10.057492503682987
ピノキオピー,10.034423818871094
一之瀬剛,9.708837114152859
Gotye,9.510982235124025
Bob James,9.496247581389087
Bette Midler,9.459344900827048
Caramell,9.41611975157749
Iron Maiden,9.381284677188408
The Flight,9.36347020974158
Jack Finlay,9.30900549432069
Wu‐Tang Clan,9.10584384653091
Countess Coloratura,9.101768873656182
Rebecca Shoichet,9.080061693167114
JoinedTheHerd,9.072279873746506
Twilight Sparkle,9.072279873746506
Brenda,8.90168271937251
Nas,8.860874709352602
Falco,8.74878822912708
Syncopix,8.637417131945616
