artist,authority_score
Daniel Ingram,59.850813329326954
James Brown,45.66971955334005
2Pac,45.009332240162735
電音部,40.898925738532505
外神田文芸高校,35.61128114612849
Lyn Collins,27.10029287759599
Daft Punk,27.077134506141153
開発室Pixel,26.97737281340908
John Lennon,26.06354365107579
Kraftwerk,25.986623037632274
Toby Fox,23.731637126615954
GIRakaCHEEZER,23.590864603292065
Yoko Ono,23.42070003451042
Michael Jackson,22.585566716422058
The Honey Drippers,21.145653101099878
Britney Spears,20.030784178771686
ASAGEN,19.67541723747797
C418,19.24751398950626
Porter Robinson,18.676064968337563
Isaac Hayes,18.63328146787751
近藤浩治,18.539000269551018
Nine Inch Nails,18.506581518842143
Eminem,18.23912467851824
Incredible Bongo Band,18.103121501560217
Barry Manilow,18.098749518060156
The Winstons,17.587048539944814
Kool and the Gang,17.23922125016019
PSY,17.049700817649928
折戸伸治,16.584639647817696
戸越まごめ,16.431053712946735
Mel Tormé,16.041891242586917
Ye,15.644215315824589
IOSYS,15.271601085131259
Run-D.M.C.,15.257159364819191
JAY-Z,14.967669784704782
The Prodigy,14.691736155282625
DJ TECHNORCH,14.217631427849518
椎名もた,13.977304286443816
The Jacksons,13.545976273604884
Jim Jones,13.335052091214415
Beastie Boys,13.330044592921157
Aphex Twin,13.145655591010746
Justice,12.976731457562508
The Sugarhill Gang,12.963027794524674
Prince,12.734831225780175
Queen,12.677880880266658
Fatboy Slim,12.436829025189146
The Beatles,12.416469713205226
Katy Perry,12.375035889094818
Eric B. and Rakim,12.305667600776292
The Notorious B.I.G.,12.263415118428696
Beside,11.728401222123336
Madonna,11.717742633674845
SHIKI,11.642792769348357
Chic,11.585072153310065
Public Enemy,11.58441406604894
supercell,11.564443056263752
Mariah Carey,11.548801979009136
Drake,11.503696546042088
Depeche Mode,11.311949164602524
Loleatta Holloway,11.293612060099072
Pink Floyd,11.236623100051657
Friendship,11.163380773657877
宇多田ヒカル,11.162053930454382
Curtis Mayfield,10.96979234592647
Dr. Dre,10.966509108836425
Linkin Park,10.920220614089144
anubasu-anubasu,10.743538372252678
"Earth, Wind and Fire",10.67216594754186
Lady Gaga,10.65630035759827
Honey Cone,10.61381705738469
Nina Simone,10.577379329149526
Charli xcx,10.45644576848758
Metallica,10.438175786425058
KISS,10.400213032699503
wotaku,10.231098365702783
Marvin Gaye,10.22662213956564
George Buzinkai,10.215358613720381
Funkadelic,10.198234702072503
50 Cent,10.163387557226041
Parliament,10.046331785987869
ピノキオピー,10.01431111359648
一之瀬剛,9.723100286721605
Iron Maiden,9.686233924795005
Bob James,9.488407898425404
Gotye,9.46134575753655
Bette Midler,9.439747955496987
Caramell,9.39960888563133
The Flight,9.346016822400014
Jack Finlay,9.290355026175124
Countess Coloratura,9.169711125256077
Rebecca Shoichet,9.144581711051554
JoinedTheHerd,9.136814437570157
Twilight Sparkle,9.136814437570157
Wu-Tang Clan,9.018236049200198
Syncopix,8.891335995391119
Brenda and the Tabulations,8.861212824933517
Nas,8.842329530462026
Falco,8.733916579754412
Snail's House,8.597897102132428
